SPANISH,ENGLISH,ETYMON_GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
?,,,,
10,,TEN,1515,TEN
11,,ELEVEN,1706,ELEVEN
12,,TWELVE,1707,TWELVE
13,,THIRTEEN,1708,THIRTEEN
13,,THREE,,
15,,FIVE,,
16,,SIX,,
16,,SIXTEEN,2454,SIXTEEN
18,,EIGHT,,
18,,EIGHTEEN,1713,EIGHTEEN
19,,NINE,,
19,,NINETEEN,1714,NINETEEN
1,,ONE,1493,ONE
2003,,DRAGONFLY,,
,20,VEINTENA // SCORE,1710,TWENTY
(2) hondo [ETR],,,,
"2 Mari*as [ETR], ""blanqueador""",,WHITE,,
2o,,TWO,,
2 por 2,,TWO,,
2p pronoun [ETR] [ERH],,,,
2s pronoun [ETR] [ERH],,,,
2,,TWO,1498,TWO
2X2,,TWO,,
,2 years ago [ETR],TWO,,
,3 days ago [ETR],THREE,,
,3ERG,,,
3 gotas de agua,,DRIP,,
3 gotas de agua,,THREE,,
"'3 Mari*as/Reyes' (pegado con Carrito) [ERH,-ETR]",,SUN,,
3 poner ropa,,GO.IN,,
3 por 3,,THREE,,
3,,THREE,492,THREE
3X3,,THREE,,
,3 years ago [ETR],THREE,,
,40,,1716,FORTY
40,40,,1716,FORTY
4o,,FOUR,,
4 por 4,,FOUR,,
,4 years ago [ETR],FOUR,,
5,,FIVE,493,FIVE
5 por 5,,FIVE,,
5X5,,FIVE,,
60,,,1718,SIXTY
60,60,,1718,SIXTY
60,,THREE,,
6 [ETR] [ERH],,SIX,1703,SIX
6o,,SIX,,
6,,SIX,1703,SIX
6X6,,SIX,,
7 cabrillos,,PLEIADES,,
"/7ohl/ heart, center",,MIDDLE,,
8,,EIGHT,1705,EIGHT
8 [ERH],,THREE,,
8o,,EIGHT,,
9,,NINE,1483,NINE
9o,,NINE,,
9X9,,NINE,,
abajo de,,UNDER,1485,BELOW OR UNDER
abajo,,UNDER,1485,BELOW OR UNDER
